shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
    10 -2.471409     2    47     0
    10 -2.389029     3    48     0
    10 -2.306648     4    49     0
    10 -2.224268     5    50     0
    10 -2.141888     6    51     0
    10 -2.059507     7    52     0
    10 -1.977127     8    53     0
    10 -1.894747     9    54     0
    10 -1.812366    10    55     0
    10 -1.729986    11    56     0
    10 -1.647606    12    57     0
    10 -1.565226    13    58     0
    10 -1.482845    14    59     0
    10 -1.400465    15    60     0
    10 -1.318085    16    61     0
    10 -1.235704    17    62     0
    10 -1.153324    18    63     0
    10 -1.070944    19     0     0
    10 -0.988564    20     0     0
    10 -0.906183    21     0     0
    10 -0.823803    22     0     0
    10 -0.741423    23     0     0
    10 -0.659042    24     0     0
    10 -0.576662    25     0     0
    10 -0.494282    26     0     0
    10 -0.411901    27     0     0
    10 -0.329521    28     0     0
    10 -0.247141    29     0     0
    10 -0.164761    30     0     0
    10 -0.082380    31     0     0
    10 -0.000000    32     0     0
    10  0.082380    33     0     0
    10  0.164761    34     0     0
    10  0.247141    35     0     0
    10  0.329521    36     0     0
    10  0.411901    37     0     0
    10  0.494282    38     0     0
    10  0.576662    39     0     0
    10  0.659042    40     0     0
    10  0.741423    41     0     0
    10  0.823803    42     0     0
    10  0.906183    43     0     0
    10  0.988564    44     0     0
    10  1.070944    45     0     0
    10  1.153324    46     0     1
    10  1.235704    47     0     2
    10  1.318085    48     0     3
    10  1.400465    49     0     4
    10  1.482845    50     0     5
    10  1.565226    51     0     6
    10  1.647606    52     0     7
    10  1.729986    53     0     8
    10  1.812366    54     0     9
    10  1.894747    55     0    10
    10  1.977127    56     0    11
    10  2.059507    57     0    12
    10  2.141888    58     0    13
    10  2.224268    59     0    14
    10  2.306648    60     0    15
    10  2.389029    61     0    16
    10  2.471409    62     0    17
    10  2.553789    63     0    18
    11 -2.553789     1    51     0
    11 -2.471409     2    52     0
    11 -2.389029     3    53     0
    11 -2.306648     4    54     0
    11 -2.224268     5    55     0
    11 -2.141888     6    56     0
    11 -2.059507     7    57     0
    11 -1.977127     8    58     0
    11 -1.894747     9    59     0
    11 -1.812366    10    60     0
    11 -1.729986    11    61     0
    11 -1.647606    12    62     0
    11 -1.565226    13    63     0
    11 -1.482845    14     0     0
    11 -1.400465    15     0     0
    11 -1.318085    16     0     0
    11 -1.235704    17     0     0
    11 -1.153324    18     0     0
    11 -1.070944    19     0     0
    11 -0.988564    20     0     0
    11 -0.906183    21     0     0
    11 -0.823803    22     0     0
    11 -0.741423    23     0     0
    11 -0.659042    24     0     0
    11 -0.576662    25     0     0
    11 -0.494282    26     0     0
    11 -0.411901    27     0     0
    11 -0.329521    28     0     0
    11 -0.247141    29     0     0
    11 -0.164761    30     0     0
    11 -0.082380    31     0     0
    11 -0.000000    32     0     0
    11  0.082380    33     0     0
    11  0.164761    34     0     0
    11  0.247141    35     0     0
    11  0.329521    36     0     0
    11  0.411901    37     0     0
    11  0.494282    38     0     0
    11  0.576662    39     0     0
    11  0.659042    40     0     0
    11  0.741423    41     0     0
    11  0.823803    42     0     0
    11  0.906183    43     0     0
    11  0.988564    44     0     0
    11  1.070944    45     0     0
    11  1.153324    46     0     0
    11  1.235704    47     0     0
    11  1.318085    48     0     0
    11  1.400465    49     0     0
    11  1.482845    50     0     0
    11  1.565226    51     0     1
    11  1.647606    52     0     2
    11  1.729986    53     0     3
    11  1.812366    54     0     4
    11  1.894747    55     0     5
    11  1.977127    56     0     6
    11  2.059507    57     0     7
    11  2.141888    58     0     8
    11  2.224268    59     0     9
    11  2.306648    60     0    10
    11  2.389029    61     0    11
    11  2.471409    62     0    12
    11  2.553789    63     0    13
    12 -2.553789     1    56     0
    12 -2.471409     2    57     0
    12 -2.389029     3    58     0
    12 -2.306648     4    59     0
    12 -2.224268     5    60     0
    12 -2.141888     6    61     0
    12 -2.059507     7    62     0
    12 -1.977127     8    63     0
    12 -1.894747     9     0     0
    12 -1.812366    10     0     0
    12 -1.729986    11     0     0
    12 -1.647606    12     0     0
    12 -1.565226    13     0     0
    12 -1.482845    14     0     0
    12 -1.400465    15     0     0
    12 -1.318085    16     0     0
    12 -1.235704    17     0     0
    12 -1.153324    18     0     0
    12 -1.070944    19     0     0
    12 -0.988564    20     0     0
    12 -0.906183    21     0     0
    12 -0.823803    22     0     0
    12 -0.741423    23     0     0
    12 -0.659042    24     0     0
    12 -0.576662    25     0     0
    12 -0.494282    26     0     0
    12 -0.411901    27     0     0
    12 -0.329521    28     0     0
    12 -0.247141    29     0     0
    12 -0.164761    30     0     0
    12 -0.082380    31     0     0
    12 -0.000000    32     0     0
    12  0.082380    33     0     0
    12  0.164761    34     0     0
    12  0.247141    35     0     0
    12  0.329521    36     0     0
    12  0.411901    37     0     0
    12  0.494282    38     0     0
    12  0.576662    39     0     0
    12  0.659042    40     0     0
    12  0.741423    41     0     0
    12  0.823803    42     0     0
    12  0.906183    43     0     0
    12  0.988564    44     0     0
    12  1.070944    45     0     0
    12  1.153324    46     0     0
    12  1.235704    47     0     0
    12  1.318085    48     0     0
    12  1.400465    49     0     0
    12  1.482845    50     0     0
    12  1.565226    51     0     0
    12  1.647606    52     0     0
    12  1.729986    53     0     0
    12  1.812366    54     0     0
    12  1.894747    55     0     0
    12  1.977127    56     0     1
    12  2.059507    57     0     2
    12  2.141888    58     0     3
    12  2.224268    59     0     4
    12  2.306648    60     0     5
    12  2.389029    61     0     6
    12  2.471409    62     0     7
    12  2.553789    63     0     8
    13 -2.553789     1    61     0
    13 -2.471409     2    62     0
    13 -2.389029     3    63     0
    13 -2.306648     4     0     0
    13 -2.224268     5     0     0
    13 -2.141888     6     0     0
    13 -2.059507     7     0     0
    13 -1.977127     8     0     0
    13 -1.894747     9     0     0
    13 -1.812366    10     0     0
    13 -1.729986    11     0     0
    13 -1.647606    12     0     0
    13 -1.565226    13     0     0
    13 -1.482845    14     0     0
    13 -1.400465    15     0     0
    13 -1.318085    16     0     0
    13 -1.235704    17     0     0
    13 -1.153324    18     0     0
    13 -1.070944    19     0     0
    13 -0.988564    20     0     0
    13 -0.906183    21     0     0
    13 -0.823803    22     0     0
    13 -0.741423    23     0     0
    13 -0.659042    24     0     0
    13 -0.576662    25     0     0
    13 -0.494282    26     0     0
    13 -0.411901    27     0     0
    13 -0.329521    28     0     0
    13 -0.247141    29     0     0
    13 -0.164761    30     0     0
    13 -0.082380    31     0     0
    13 -0.000000    32     0     0
    13  0.082380    33     0     0
    13  0.164761    34     0     0
    13  0.247141    35     0     0
    13  0.329521    36     0     0
    13  0.411901    37     0     0
    13  0.494282    38     0     0
    13  0.576662    39     0     0
    13  0.659042    40     0     0
    13  0.741423    41     0     0
    13  0.823803    42     0     0
    13  0.906183    43     0     0
    13  0.988564    44     0     0
    13  1.070944    45     0     0
    13  1.153324    46     0     0
    13  1.235704    47     0     0
    13  1.318085    48     0     0
    13  1.400465    49     0     0
    13  1.482845    50     0     0
    13  1.565226    51     0     0
    13  1.647606    52     0     0
    13  1.729986    53     0     0
    13  1.812366    54     0     0
    13  1.894747    55     0     0
    13  1.977127    56     0     0
    13  2.059507    57     0     0
    13  2.141888    58     0     0
    13  2.224268    59     0     0
    13  2.306648    60     0     0
    13  2.389029    61     0     1
    13  2.471409    62     0     2
    13  2.553789    63     0     3
    14 -2.553789     1     0     0
    14 -2.471409     2     0     0
    14 -2.389029     3     0     0
    14 -2.306648     4     0     0
    14 -2.224268     5     0     0
    14 -2.141888     6     0     0
    14 -2.059507     7     0     0
    14 -1.977127     8     0     0
    14 -1.894747     9     0     0
    14 -1.812366    10     0     0
    14 -1.729986    11     0     0
    14 -1.647606    12     0     0
    14 -1.565226    13     0     0
    14 -1.482845    14     0     0
    14 -1.400465    15     0     0
    14 -1.318085    16     0     0
    14 -1.235704    17     0     0
    14 -1.153324    18     0     0
    14 -1.070944    19     0     0
    14 -0.988564    20     0     0
    14 -0.906183    21     0     0
    14 -0.823803    22     0     0
    14 -0.741423    23     0     0
    14 -0.659042    24     0     0
    14 -0.576662    25     0     0
    14 -0.494282    26     0     0
    14 -0.411901    27     0     0
    14 -0.329521    28     0     0
    14 -0.247141    29     0     0
    14 -0.164761    30     0     0
    14 -0.082380    31     0     0
    14 -0.000000    32     0     0
    14  0.082380    33     0     0
    14  0.164761    34     0     0
    14  0.247141    35     0     0
    14  0.329521    36     0     0
    14  0.411901    37     0     0
    14  0.494282    38     0     0
    14  0.576662    39     0     0
    14  0.659042    40     0     0
    14  0.741423    41     0     0
    14  0.823803    42     0     0
    14  0.906183    43     0     0
    14  0.988564    44     0     0
    14  1.070944    45     0     0
    14  1.153324    46     0     0
    14  1.235704    47     0     0
    14  1.318085    48     0     0
    14  1.400465    49     0     0
    14  1.482845    50     0     0
    14  1.565226    51     0     0
    14  1.647606    52     0     0
    14  1.729986    53     0     0
    14  1.812366    54     0     0
    14  1.894747    55     0     0
    14  1.977127    56     0     0
    14  2.059507    57     0     0
    14  2.141888    58     0     0
    14  2.224268    59     0     0
    14  2.306648    60     0     0
    14  2.389029    61     0     0
    14  2.471409    62     0     0
    14  2.553789    63     0     0
    15 -2.553789     1     0     0
    15 -2.471409     2     0     0
    15 -2.389029     3     0     0
    15 -2.306648     4     0     0
    15 -2.224268     5     0     0
    15 -2.141888     6     0     0
    15 -2.059507     7     0     0
    15 -1.977127     8     0     0
    15 -1.894747     9     0     0
    15 -1.812366    10     0     0
    15 -1.729986    11     0     0
    15 -1.647606    12     0     0
    15 -1.565226    13     0     0
    15 -1.482845    14     0     0
    15 -1.400465    15     0     0
    15 -1.318085    16     0     0
    15 -1.235704    17     0     0
    15 -1.153324    18     0     0
    15 -1.070944    19     0     0
    15 -0.988564    20     0     0
    15 -0.906183    21     0     0
    15 -0.823803    22     0     0
    15 -0.741423    23     0     0
    15 -0.659042    24     0     0
    15 -0.576662    25     0     0
    15 -0.494282    26     0     0
    15 -0.411901    27     0     0
    15 -0.329521    28     0     0
    15 -0.247141    29     0     0
    15 -0.164761    30     0     0
    15 -0.082380    31     0     0
    15 -0.000000    32     0     0
    15  0.082380    33     0     0
    15  0.164761    34     0     0
    15  0.247141    35     0     0
    15  0.329521    36     0     0
    15  0.411901    37     0     0
    15  0.494282    38     0     0
    15  0.576662    39     0     0
    15  0.659042    40     0     0
    15  0.741423    41     0     0
    15  0.823803    42     0     0
    15  0.906183    43     0     0
    15  0.988564    44     0     0
    15  1.070944    45     0     0
    15  1.153324    46     0     0
    15  1.235704    47     0     0
    15  1.318085    48     0     0
    15  1.400465    49     0     0
    15  1.482845    50     0     0
    15  1.565226    51     0     0
    15  1.647606    52     0     0
    15  1.729986    53     0     0
    15  1.812366    54     0     0
    15  1.894747    55     0     0
    15  1.977127    56     0     0
    15  2.059507    57     0     0
    15  2.141888    58     0     0
    15  2.224268    59     0     0
    15  2.306648    60     0     0
    15  2.389029    61     0     0
    15  2.471409    62     0     0
    15  2.553789    63     0     0
