shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
    18 -0.823803    12     0     0
    18 -0.741423    13     0     0
    18 -0.659042    14     0     0
    18 -0.576662    15     0     0
    18 -0.494282    16     0     0
    18 -0.411901    17     0     0
    18 -0.329521    18     0     0
    18 -0.247141    19     0     0
    18 -0.164761    20     0     0
    18 -0.082380    21     0     0
    18 -0.000000    22     0     0
    18  0.082380    23     0     0
    18  0.164761    24     0     0
    18  0.247141    25     0     0
    18  0.329521    26     0     0
    18  0.411901    27     0     0
    18  0.494282    28     0     0
    18  0.576662    29     0     0
    18  0.659042    30     0     0
    18  0.741423    31     0     0
    18  0.823803    32     0     0
    18  0.906183    33     0     0
    18  0.988564    34     0     0
    18  1.070944    35     0     0
    18  1.153324    36     0     0
    18  1.235704    37     0     0
    18  1.318085    38     0     0
    18  1.400465    39     0     0
    18  1.482845    40     0     0
    18  1.565226    41     0     0
    18  1.647606    42     0     0
    18  1.729986    43     0     0
    19 -1.729986     1     0     0
    19 -1.647606     2     0     0
    19 -1.565226     3     0     0
    19 -1.482845     4     0     0
    19 -1.400465     5     0     0
    19 -1.318085     6     0     0
    19 -1.235704     7     0     0
    19 -1.153324     8     0     0
    19 -1.070944     9     0     0
    19 -0.988564    10     0     0
    19 -0.906183    11     0     0
    19 -0.823803    12     0     0
    19 -0.741423    13     0     0
    19 -0.659042    14     0     0
    19 -0.576662    15     0     0
    19 -0.494282    16     0     0
    19 -0.411901    17     0     0
    19 -0.329521    18     0     0
    19 -0.247141    19     0     0
    19 -0.164761    20     0     0
    19 -0.082380    21     0     0
    19 -0.000000    22     0     0
    19  0.082380    23     0     0
    19  0.164761    24     0     0
    19  0.247141    25     0     0
    19  0.329521    26     0     0
    19  0.411901    27     0     0
    19  0.494282    28     0     0
    19  0.576662    29     0     0
    19  0.659042    30     0     0
    19  0.741423    31     0     0
    19  0.823803    32     0     0
    19  0.906183    33     0     0
    19  0.988564    34     0     0
    19  1.070944    35     0     0
    19  1.153324    36     0     0
    19  1.235704    37     0     0
    19  1.318085    38     0     0
    19  1.400465    39     0     0
    19  1.482845    40     0     0
    19  1.565226    41     0     0
    19  1.647606    42     0     0
    19  1.729986    43     0     0
    20 -1.729986     1     0     0
    20 -1.647606     2     0     0
    20 -1.565226     3     0     0
    20 -1.482845     4     0     0
    20 -1.400465     5     0     0
    20 -1.318085     6     0     0
    20 -1.235704     7     0     0
    20 -1.153324     8     0     0
    20 -1.070944     9     0     0
    20 -0.988564    10     0     0
    20 -0.906183    11     0     0
    20 -0.823803    12     0     0
    20 -0.741423    13     0     0
    20 -0.659042    14     0     0
    20 -0.576662    15     0     0
    20 -0.494282    16     0     0
    20 -0.411901    17     0     0
    20 -0.329521    18     0     0
    20 -0.247141    19     0     0
    20 -0.164761    20     0     0
    20 -0.082380    21     0     0
    20 -0.000000    22     0     0
    20  0.082380    23     0     0
    20  0.164761    24     0     0
    20  0.247141    25     0     0
    20  0.329521    26     0     0
    20  0.411901    27     0     0
    20  0.494282    28     0     0
    20  0.576662    29     0     0
    20  0.659042    30     0     0
    20  0.741423    31     0     0
    20  0.823803    32     0     0
    20  0.906183    33     0     0
    20  0.988564    34     0     0
    20  1.070944    35     0     0
    20  1.153324    36     0     0
    20  1.235704    37     0     0
    20  1.318085    38     0     0
    20  1.400465    39     0     0
    20  1.482845    40     0     0
    20  1.565226    41     0     0
    20  1.647606    42     0     0
    20  1.729986    43     0     0
    21 -1.729986     1     0     0
    21 -1.647606     2     0     0
    21 -1.565226     3     0     0
    21 -1.482845     4     0     0
    21 -1.400465     5     0     0
    21 -1.318085     6     0     0
    21 -1.235704     7     0     0
    21 -1.153324     8     0     0
    21 -1.070944     9     0     0
    21 -0.988564    10     0     0
    21 -0.906183    11     0     0
    21 -0.823803    12     0     0
    21 -0.741423    13     0     0
    21 -0.659042    14     0     0
    21 -0.576662    15     0     0
    21 -0.494282    16     0     0
    21 -0.411901    17     0     0
    21 -0.329521    18     0     0
    21 -0.247141    19     0     0
    21 -0.164761    20     0     0
    21 -0.082380    21     0     0
    21 -0.000000    22     0     0
    21  0.082380    23     0     0
    21  0.164761    24     0     0
    21  0.247141    25     0     0
    21  0.329521    26     0     0
    21  0.411901    27     0     0
    21  0.494282    28     0     0
    21  0.576662    29     0     0
    21  0.659042    30     0     0
    21  0.741423    31     0     0
    21  0.823803    32     0     0
    21  0.906183    33     0     0
    21  0.988564    34     0     0
    21  1.070944    35     0     0
    21  1.153324    36     0     0
    21  1.235704    37     0     0
    21  1.318085    38     0     0
    21  1.400465    39     0     0
    21  1.482845    40     0     0
    21  1.565226    41     0     0
    21  1.647606    42     0     0
    21  1.729986    43     0     0
